Date;IRS10Y;IRS15Y;IRS20Y;IRS25Y;IRS30Y;EUR1M;EUR3M;EUR12M
01/06/2008;4.8;4.88;4.87;4.79;4.7;4.45;4.93;5.16
01/07/2008;4.82;4.91;4.89;4.8;4.71;4.49;4.95;5.07
01/08/2008;4.6;4.75;4.77;4.71;4.64;4.51;4.96;4.89
01/09/2008;4.59;4.72;4.73;4.66;4.58;4.66;5.02;4.87
01/10/2008;4.39;4.53;4.42;4.2;4.03;4.74;5.1;3.97
01/11/2008;4.08;4.32;4.23;3.98;3.81;3.76;4.22;3.16
01/12/2008;3.7;3.88;3.79;3.5;3.3;2.9;3.25;2.62
01/01/2009;3.64;3.97;3.99;3.78;3.61;2.14;2.47;2.04
01/02/2009;3.54;3.93;3.93;3.63;3.38;1.58;1.93;1.76
01/03/2009;3.4;3.81;3.91;3.7;3.47;1.24;1.62;1.55
01/04/2009;3.49;3.93;4.04;3.9;3.74;0.99;1.4;1.43
01/05/2009;3.55;3.98;4.1;3.99;3.85;0.88;1.26;1.27
01/06/2009;3.72;4.16;4.28;4.15;4;0.89;1.21;1.29
01/07/2009;3.61;4.07;4.22;4.14;4.01;0.57;0.95;1.07
01/08/2009;3.52;3.95;4.11;4.03;3.89;0.48;0.84;1.08
01/09/2009;3.47;3.93;4.1;4.06;3.95;0.44;0.75;0.92
01/10/2009;3.44;3.88;4.06;4.01;3.88;0.42;0.72;1.03
01/11/2009;3.46;3.91;4.06;4;3.86;0.42;0.7;1
01/12/2009;3.41;3.85;3.97;3.88;3.73;0.46;0.7;1.03
01/01/2010;3.4;3.85;3.99;3.94;3.82;0.43;0.67;0.99
01/02/2010;3.34;3.77;3.89;3.82;3.67;0.41;0.65;0.94
01/03/2010;3.25;3.72;3.87;3.81;3.67;0.4;0.63;0.87
01/04/2010;3.18;3.64;3.78;3.71;3.56;0.4;0.63;0.89
01/05/2010;2.98;3.41;3.5;3.41;3.25;0.41;0.67;0.89
01/06/2010;2.83;3.27;3.37;3.29;3.13;0.43;0.71;0.91
01/07/2010;2.82;3.27;3.42;3.35;3.2;0.57;0.83;1.05
01/08/2010;2.52;2.93;3.08;3.02;2.89;0.62;0.88;0.98
01/09/2010;2.54;2.91;3.02;2.98;2.84;0.6;0.87;1.02
01/10/2010;2.61;2.98;3.06;2.98;2.81;0.78;0.99;1.16
01/11/2010;2.81;3.18;3.24;3.14;2.97;0.81;1.03;1.24
01/12/2010;3.23;3.64;3.7;3.56;3.36;0.77;1.01;1.18
01/01/2011;3.23;3.63;3.71;3.61;3.44;0.78;1.01;1.27
01/02/2011;3.39;3.77;3.86;3.76;3.59;0.88;1.08;1.47
01/03/2011;3.42;3.78;3.87;3.78;3.63;0.88;1.16;1.64
01/04/2011;3.56;3.92;4.01;3.93;3.77;1.13;1.32;1.77
01/05/2011;3.34;3.7;3.8;3.71;3.57;1.23;1.42;1.79
01/06/2011;3.24;3.65;3.76;3.7;3.59;1.27;1.49;1.75
01/07/2011;3.15;3.54;3.63;3.55;3.46;1.39;1.59;1.74
01/08/2011;2.81;3.22;3.28;3.18;3.07;1.33;1.54;1.35
01/09/2011;2.45;2.83;2.9;2.84;2.75;1.3;1.53;1.24
01/10/2011;2.51;2.85;2.89;2.82;2.74;1.32;1.57;1.32
